Posizione;Squadra;Giocatore;Gol;Presenze
1;Out Of Office FC;Arena Michele;12;7
2;FC Stealthy Dribblers;Turi Paolo;10;6
3;Out Of Office FC;Saracino Gianvito;13;7
4;Auriga Juniors;Spinola Salvatore;8;6
5;BlackJack;Fiorella Giacomo;6;5
6;BlackJack;Lo Riso Alessandro;6;6
7;BOT & BALL;Camposeo Giovanni;7;7
8;BOT & BALL;Guri Sabah;6;7
9;FC Stealthy Dribblers;Menolascina Nicolandrea;8;7
10;Auriga Juniors;De Toma Nicola;7;7
11;BOT & BALL;Anselmi Biagio;4;7
12;BOT & BALL;Eramo Gianluca;4;3
13;Auriga Juniors;Rubino Gianluca;3;5
14;BlackJack;Cirilli Michele;4;6
15;BOT & BALL;Ziri Gaetano;3;6
16;Auriga Juniors;Albrizio Gianfranco;2;7
17;BlackJack;Menolascina Gerardo;2;6
18;FC Stealthy Dribblers;Masellis Roberto;2;4
19;Out Of Office FC;Di Giovine Domenico;3;3
20;Auriga Juniors;Castellano Graziano;1;5
21;Auriga Juniors;Iacobellis PT;3;7
22;BlackJack;Todisco Giovanni;1;6
23;FC Stealthy Dribblers;Grippa Michele;2;7
24;Out Of Office FC;Mondelli Francesco;3;7
